"sf__Id","sf__Created",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"a08RB00001Z1G6DYAV","true","東急リバブル株式会社","1800000.0","月","001RB00001VTqy2YAD","","","2026-04-01","","","150000.0","2026-01-14","","ValueProposition","","","","",""
"a08RB00001Z1G6EYAV","true","株式会社アルテ","1584000.0","月","001RB00001VTqy3YAD","","","","2026-01-04","Support or track record concern","132000.0","","","Closed Lost","2026-01-04","","","",""
"a08RB00001Z1G6FYAV","true","8175 STUDIO の取引","105600.0","月","001RB00001VTqy4YAD","003RB00001NsVi6YAF","","2026-04-15","","","8800.0","","","Closed Lost","","","","",""
"a08RB00001Z1G6GYAV","true","株式会社日企設計","460800.0","月","001RB00001VTqy6YAD","","","2026-02-20","","","38400.0","","","Closed Lost","","","","",""
"a08RB00001Z1G6HYAV","true","地盤ネット株式会社 の取引","422400.0","月","001RB00001VTrtxYAD","003RB00001NsMP3YAN","","","","","35200.0","","","Prospecting","","","","",""
"a08RB00001Z1G6IYAV","true","株式会社Lakke の取引","145200.0","月","001RB00001VTqy7YAD","003RB00001NsWwpYAF","","","","","12100.0","","","Closed Won","2025-11-10","","","",""
"a08RB00001Z1G6JYAV","true","株式会社ササキハウス の取引","145200.0","月","001RB00001VTreSYAT","003RB00001NsWwqYAF","","","","","12100.0","","","Closed Won","2025-11-24","","","",""
"a08RB00001Z1G6KYAV","true","生和コーポレーション株式会社 Update","1800000.0","月","001RB00001VTqmcYAD","","","","","","150000.0","","","ValueProposition","","","","",""
"a08RB00001Z1G6LYAV","true","群馬セキスイハイム株式会社","211200.0","月","001RB00001VTrvkYAD","","","2026-03-01","","","17600.0","","","Negotiation","","","","",""
"a08RB00001Z1G6MYAV","true","石友ホーム株式会社 の取引","0.0","月","001RB00001VTrdXYAT","003RB00001NsViZYAV","","","","","0.0","","","Prospecting","","","","",""
