"Id","Name","InvoiceWork__c","Description__c","Quantity__c","UnitPrice__c","LineAmount__c","SuggestedProductMaster__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","ResolveMessage__c"
"a0ERB00000PIXwv2AH","MFILW-000559","a0FRB00000YqSOA2A3","knock knock AI_Basicプラン(月額)","3","11000","33000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIXww2AH","MFILW-000560","a0FRB00000YqSOB2A3","knock knock AI_Basicプラン","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIdKf2AL","MFILW-000561","a0FRB00000YqLuQ2AV","knock knock AI_Basicプラン","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PIdKg2AL","MFILW-000562","a0FRB00000YqLuR2AV","Rendery_Pro_月額利用料","1","8000","8000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PIdKh2AL","MFILW-000563","a0FRB00000YqLuS2AV","RenderyEnterpriseプラン_月額","1","11000","11000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PIdKi2AL","MFILW-000564","a0FRB00000YqLuT2AV","RenderyEnterpriseプラン_月額","4","11000","44000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PIdKj2AL","MFILW-000565","a0FRB00000YqLuU2AV","Rendery_Pro_月額利用料","1","8000","8000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PIdKl2AL","MFILW-000567","a0FRB00000YqLuW2AV","Rendery_Enterpriseプラン","15","11000","165000","a0CRB0000Ck3ReH2QU","a0CRB0000Ck3ReH2QU","確定済み","取得済み",,"Exact ProductMaster.Name match."
"a0ERB00000PJ1A52AL","MFILW-000571","a0FRB00000Yr46j2AB","Rendery_Pro_月額","1","8000","8000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PJ1A72AL","MFILW-000573","a0FRB00000Yr46l2AB","Rendery　エンタープライズプラン","4","11000","44000","a0CRB0000CcXZ6T2QW","a0CRB0000CcXZ6T2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PJ1AA2A1","MFILW-000576","a0FRB00000Yr46o2AB","knock knock AI Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PJ1AB2A1","MFILW-000577","a0FRB00000Yr46p2AB","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PJ1AC2A1","MFILW-000578","a0FRB00000Yr46q2AB","knock knock AI_Basicプラン(月額)","1","11000","11000","a0CRB0000CcXZ6i2QG",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PJ1AD2A1","MFILW-000579","a0FRB00000Yr46r2AB","Rendery_Pro_月額利用料","1","8000","8000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PJ6kr2AD","MFILW-000581","a0FRB00000YrJ2X2AV","Rendery_Pro_月額利用料","1","8000","8000","a0CRB0000CcXZ6Q2QW","a0CRB0000CcXZ6Q2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PJSS12AP","MFILW-000583","a0FRB00000YswQ42AJ","事業開発検討","1","4000000","4000000",,,"要確認","取得済み",,"No ProductMaster candidate found."
"a0ERB00000PJSS22AP","MFILW-000584","a0FRB00000YswQ42AJ","3Dモデル自動生成システム開発PoC","1","2000000","2000000",,,"要確認","取得済み",,"No ProductMaster candidate found."
