"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000WjSKY2A3","MFIW-000234","58573624","INV-0000001236","株式会社ハウスプラザ","2026-05-20","12100","要確認","001RB00001VTqZpYAL","a04RB00000kUAPVYA4","a0BRB00000ynn5N2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjSKZ2A3","MFIW-000235","58573626","INV-0000001237","株式会社JR東日本建築設計","2026-05-20","8800","要確認","001RB00001br9KSYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjSKa2AN","MFIW-000236","58573627","INV-0000001238","アイリスオーヤマ株式会社(空間デザイン部)","2026-05-20","12100","要確認","001RB00001br9KgYAI",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjTBV2A3","MFIW-000237","58573629","INV-0000001239","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-05-20","48400","要確認","001RB00001br9KfYAI",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjTBW2A3","MFIW-000238","58573631","INV-0000001240","九州旅客鉄道株式会社(博多設備区)","2026-05-20","8800","要確認","001RB00001br9KNYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjTBX2A3","MFIW-000239","58573632","INV-0000001241","株式会社ジョイフル本田","2026-05-20","60500","要確認","001RB00001VTqkQYAT",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjTBd2AN","MFIW-000245","58573642","INV-0000001247","九州旅客鉄道株式会社(建設工事部施設課)","2026-05-20","8800","要確認","001RB00001br9KLYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjTBf2AN","MFIW-000247","58573647","INV-0000001249","インフィニティ株式会社","2026-05-20","8800","要確認","001RB00001VTCYwYAP",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjTBg2AN","MFIW-000248","58573648","INV-0000001250","東急リゾーツ＆ステイ株式会社","2026-05-20","108900","要確認","001RB00001br9KMYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjTBk2AN","MFIW-000252","58573656","INV-0000001254","株式会社エージェント","2026-05-20","12100","要確認","001RB00001VTqZWYA1","a04RB00000kUAPjYAO","a0BRB00000ynn5b2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjTBl2AN","MFIW-000253","58573658","INV-0000001255","ホームトレードセンター株式会社","2026-05-20","12100","要確認","001RB00001VTqnbYAD","a04RB00000kUAQ2YAO","a0BRB00000ynn5u2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
